No.,Call Type,Contacts Alias,City,Province,Country,Call ID,
1,Group Call,Local,,,,1,
2,Group Call,Local,,,,2,
3,Group Call,Regional,,,,8,
4,Group Call,Local or Reflect,,,,9,
5,Group Call,XRF088 B,,,,88,
6,Group Call,World-wide,,,,91,
7,Group Call,Europe,,,,92,
8,Group Call,North America,,,,93,
11,Group Call,Nederland,,,,204,
12,Group Call,Belgium,,,,206,
13,Group Call,France 0,,,,208,
14,Group Call,Spain,,,,214,
15,Group Call,Hungary,,,,216,
16,Group Call,Italia,,,,222,
17,Group Call,Romania,,,,226,
18,Group Call,Switzerland,,,,228,
19,Group Call,Czech Republic,,,,230,
20,Group Call,Slovak,,,,231,
21,Group Call,Austria,,,,232,
22,Group Call,United Kingdom,,,,235,
23,Group Call,Denmark,,,,238,
24,Group Call,Sweden,,,,240,
25,Group Call,Norway,,,,242,
26,Group Call,Finland,,,,244,
27,Group Call,Ukraine,,,,255,
28,Group Call,Poland,,,,260,
29,Group Call,Deutschland,,,,262,
30,Group Call,Portugal,,,,268,
31,Group Call,Canada,,,,302,
32,Group Call,TAC-310,,,,310,
33,Group Call,TAC-311,,,,311,
34,Group Call,TAC-312,,,,312,
35,Group Call,XE,,,,334,
36,Group Call,Israel,,,,425,
37,Group Call,South Korea,,,,450,
38,Group Call,China,,,,454,
39,Group Call,Australia,,,,505,
40,Group Call,Thailand,,,,520,
41,Group Call,South Africa,,,,655,
42,Group Call,Panama,,,,714,
43,Group Call,Brazil,,,,724,
44,Group Call,Chile,,,,730,
45,Group Call,Venezuela,,,,734,
46,Group Call,Uruguay,,,,748,
47,Group Call,Repeater Testing,,,,899,
48,Group Call,JOTA,,,,907,
49,Group Call,German,,,,910,
50,Group Call,English,,,,913,
51,Group Call,Spanish,,,,914,
52,Group Call,Portuguese,,,,915,
54,Group Call,French,,,,921,
55,Group Call,Dutch,,,,922,
56,Group Call,European English,,,,923,
57,Group Call,Nordic,,,,927,
58,Group Call,Francophone,,,,937,
59,Group Call,Noord Nederland,,,,2041,
60,Group Call,Midden Nederland,,,,2042,
61,Group Call,Zuid Nederland,,,,2043,
62,Group Call,Oost Nederland,,,,2044,
63,Group Call,Nederland Techta,,,,2045,
64,Group Call,Belgium North,,,,2061,
65,Group Call,Belgium South,,,,2062,
66,Group Call,Belgium East,,,,2063,
67,Group Call,Belgium OnDemand,,,,2064,
68,Group Call,Belgium OnDemand,,,,2065,
69,Group Call,Belgium OnDemand,,,,2066,
70,Group Call,Belgium OnDemand,,,,2067,
71,Group Call,Belgium OnDemand,,,,2068,
72,Group Call,Belgium OnDemand,,,,2069,
73,Group Call,France Ile De Fr,,,,2080,
74,Group Call,France Mediterra,,,,2081,
75,Group Call,France Alpes 2,,,,2082,
76,Group Call,France Midi Pyre,,,,2083,
77,Group Call,France Est 4,,,,2084,
78,Group Call,France Ouest,,,,2085,
79,Group Call,France Atlantiqu,,,,2086,
80,Group Call,France Nord 7,,,,2087,
81,Group Call,France Centre 8,,,,2088,
82,Group Call,France DOM-TOM,,,,2089,
83,Group Call,EA1,,,,2141,
84,Group Call,EA2,,,,2142,
85,Group Call,EA3,,,,2143,
86,Group Call,EA4,,,,2144,
87,Group Call,EA5,,,,2145,
88,Group Call,EA6,,,,2146,
89,Group Call,EA7,,,,2147,
90,Group Call,EA8,,,,2148,
91,Group Call,EA9,,,,2149,
92,Group Call,Hungary East,,,,2161,
93,Group Call,Hungary West,,,,2162,
94,Group Call,Hungary North,,,,2163,
95,Group Call,Hungary South,,,,2164,
96,Group Call,Hungary Test,,,,2165,
97,Group Call,Local repeater,,,,2169,
98,Group Call,Reg-Zona0,,,,2220,
99,Group Call,Reg-Zona1,,,,2221,
100,Group Call,Reg-Zona2,,,,2222,
101,Group Call,Reg-Zona3,,,,2223,
102,Group Call,Reg-Zona4,,,,2224,
103,Group Call,Reg-Zona5,,,,2225,
104,Group Call,Reg-Zona6,,,,2226,
105,Group Call,Reg-Zona7,,,,2227,
106,Group Call,Reg-Zona8,,,,2228,
107,Group Call,Reg-Zona9,,,,2229,
108,Group Call,Schweiz Deutsch,,,,2280,
109,Group Call,Suisse Romande,,,,2281,
110,Group Call,Valais / Wallis,,,,2282,
111,Group Call,Bern / Solothurn,,,,2283,
112,Group Call,Basel,,,,2284,
113,Group Call,Aargau / Zentral,,,,2285,
114,Group Call,Ticino,,,,2286,
115,Group Call,Graubu00fcnden,,,,2287,
116,Group Call,Zu00fcrich,,,,2288,
117,Group Call,Ostschweiz,,,,2289,
118,Group Call,Czech Crossconec,,,,2300,
119,Group Call,Bohemia,,,,2301,
120,Group Call,Moravia,,,,2302,
121,Group Call,Slovakia,,,,2311,
122,Group Call,OE-Master,,,,2320,
123,Group Call,Wien,,,,2321,
124,Group Call,Salzburg,,,,2322,
125,Group Call,Niederoesterreic,,,,2323,
126,Group Call,Burgenland,,,,2324,
